content,rate,rate_label,time,user_name,subject_id,anime_title,clean_content,segmented
看完Mygo，Mujica再看的这个。虽然屎已经咽下去了，但是多多来点薄荷冰爽漱口水总是好的很。,9,神作,2d 18h ago,狗头鸵鸟,431767,girls band cry,MygoMujica,MygoMujica
不错的乐队番，可惜梗小鬼太多污染环境，个人认为只是看个乐呵的话可能比mygo强一点，可惜我更喜欢mygo,7,推荐,2026-5-2 10:53,B小町大队长,431767,girls band cry,mygomygo,mygomygo
5/8：相比众多偶像音乐企划写rock和地下系故事在安全区转圈，花田这次地下系真实案例既视感过强了。看到了很多P主还是小屁孩时候（笑）的影子。,8,力荐,2026-5-1 12:33,SeikE_AnuL,431767,girls band cry,58rockP,58rockP
前半段还觉得有点尬有点无聊，看到后面觉得还不错，越来越好看的感觉。不过最后一集不和钻尘对邦而是退社，从现实中的角度来看也太扯了，刺团其他人就因为听完nina的悲惨霸凌经历之后决定和nina组一辈子乐队？rupa和tomo的职业梦就因为nina的任性而不追了？武道馆演出的目标就这么放弃了？,7,推荐,2026-4-25 21:37,DoHowie,431767,girls band cry,ninaninarupatomonina,ninaninarupatomonina
486daze,7,推荐,2026-4-25 12:28,洞爷湖,431767,girls band cry,486daze,486daze
断断续续看到ep5，本来看番体验挺好的，突然小孩姐蹦出一句“因为我们明明没有错！”直接激起了我的恐高ptsd（“更何况，泷老师他…又没做错任何事！”）。我就问有没有可能，gbc剧情看起来还行，不是因为花田懂摇滚，而只是因为花田三板斧惯用的“正论怪物”刚好能套上摇滚精神的皮呢？,7,推荐,2026-4-22 23:07,Multidimensional,431767,girls band cry,ep5“”ptsd“”gbc“”,ep5 “ ” ptsd “ ” gbc “ ”
追到一半就忘了这番，时隔一年我终于看完了。没错，我就是来看女人吵架的。补完发现比看mygo还要欢快，都是高手如云的番，mygo更戏剧性，这部则更有情绪。个人观感而言，这部虽然整的活没mygo那么多，但看得更有趣，让我笑得更欢，人物面部表情是加分项啊,8,力荐,2026-4-22 19:59,BGMを持参する,431767,girls band cry,mygomygomygo,mygomygomygo
"其实是只有7分的，但是由于个人情感因素可以给8分（已严肃因为剧场版跟13集和解）
gbc对我就是那种不是最好的但是是印象最深刻的，或许我永远都忘不了在出租车上迎着夕阳看到11集live的那个下午了",8,力荐,2026-4-19 18:39,1232,431767,girls band cry,"7813
gbc11live",7813 gbc11live
其实并不摇滚，小孩姐被导演附身以后人设割裂，对于家庭问题也只是包饺子，这哪摇滚了，软化反抗精神不可取（编剧还是得给其他staff磕一个）,7,推荐,2026-4-18 03:33,量产型_Lilin,431767,girls band cry,staff,staff
个人认为是近些年3D动画的代表作，之前一直对3渲2有刻板印象，但是看了GBC以后，才发现3D动画的制作也能如此精良,7,推荐,2026-4-17 23:08,是瓜子酱,431767,girls band cry,3D32GBC3D,3D32GBC3D
第3集live放完该多好，ed更是厨力拉满了,8,力荐,2026-4-17 00:05,jwajzh,431767,girls band cry,3liveed,3liveed
"超级Q弹动态的3D表现技术力，以及和去年Mygo完全不同的正经现实向主线，如果说Mygo在疯狂之后留下的是bt的狂欢，那么GBC则有爱马仕的王道之路影子。
nina声线的歌也很带感，那种锐利中带点小孩的感觉很不错，这位真的希望有续作，而不是某A队那样烂爆（）",8,力荐,2026-4-16 18:49,YouYi幽依,431767,girls band cry,"Q3DMygoMygobtGBC
ninaA",Q3DMygoMygobtGBC ninaA
补，花田的魔法，东大妈的业界顶级3D，超洗脑摇滚的音乐，青春叛逆感拉爆的剧情，许多小细节铺垫27和hina的支线，最后和解也是显得意料之中，这才是真正的少女乐队,8,力荐,2026-4-8 17:23,出租的抚子,431767,girls band cry,3D27hina,3D27hina
前几集还在无理取闹生闷气的小孩姐到了后面突然通情达理了（？）小孩姐和桃香在剧情里占的比重较多，导致486的问题直接被搁置了，后入团的俩直接当工具人使一笔带过。还有校园霸凌父母不理解这种现实问题只要BGM一响起来问题就迎刃而解了？实在对不上电波，理解不能，不过这最后两集绝对是发病了,6,还行,2026-4-8 03:47,Eutopia,431767,girls band cry,486BGM,486BGM
GBC你什么时候出第二季。我要听GBC的小曲。,7,推荐,2026-4-7 23:28,Okuma,431767,girls band cry,GBCGBC,GBCGBC
我恨你花田。前7集绝对是历史to50的水平，最后两集我觉得可以是2000名开外的水平行吗，我想不通为什么要讲加入公司再退出，还有你那个二百多粉丝的桥段究竟意味何，感觉你相当对不起我每周六放学回来看一遍原片看一遍泛式直播周日再看一遍切片啊，傻卵,9,神作,2026-4-4 00:23,秋笙声,431767,girls band cry,7to502000,7to502000
情感细腻，节奏顺畅，故事完整，乐队题材佳作。外耗型性格确实有趣，看着一点不费劲。总的来看剧情结构太像花田的lovelive了，依旧开局组个小团体，然后扩充成员，临近结局时再戏剧冲突一下，甚至对手团起的作用都很像，不过明显gbc处理的更好，剧情线索回收的更有水平，最后的转折一点不显得生硬。除了剧情我还挺关注本作的3d，处理motion capture dataset处理的已经对这种东西有ptsd了，手部动作不如2d动作精细也符合我的认知。,7,推荐,2026-3-28 01:24,SkyRainWind,431767,girls band cry,lovelivegbc3dmotion capture datasetptsd2d,lovelivegbc3dmotion capture datasetptsd2d
在和孤独摇滚，mygo里面现实元素最强的一部。不过比较深入讲的只有主角被霸凌辍学后的成长。其他部分正常走辍学组乐队流程。路帕和昴比较招人喜欢。高技术力2.5d非常提高角色的可爱程度和演出花哨程度。,8,力荐,2026-3-27 23:40,卡面,431767,girls band cry,mygo25d,mygo25d
第一集的空之箱，第五集的视界一隅，腐朽之声，第十二集的命运之花，mmk和27的相互拯救，可爱的486与精彩的单人回，27与父亲和阳菜与钻尘的和解，27与mmk的坚持。gbc有如此多的优点，也存在虎头蛇尾，种种的缺点，但就像冰菓和古利特里所说，处于节能处于无聊的人，总是希望会有一个人，一个东西可以将他们从“无聊”中拯救。在24年已经对动画有些懈怠的我，在那个4月，gbc只用第一集就拯救了我，或许在冷静下来我可以说出它太多太多的缺点，但动画对一个人的意义所在，就在于那几个瞬间，所以在我这里gbc是永远的9分。,9,神作,2026-3-21 11:02,saberll14,431767,girls band cry,mmk274862727mmkgbc“”244gbcgbc9,mmk274862727mmkgbc “ ” 244gbcgbc9
"总体推荐一看
先说优点：得益于3d制作带来的极其灵动的表情动作，以及live下的大动态运镜让人看的很舒服
除此之外我能看到的全都有点小问题：相比较之下的2d动画太差，看了流畅的3d，下一秒镜头一切，给到一个卡顿的2d动画的割裂感太强，十次有九次得出戏。
剧情方面只能认为是标准的主角带着大家一起走的感觉，只有个别集处理了成员间的矛盾，其余几乎全是无脑跟着队长走，而且在队伍里有阅历明显更深的两个大朋友在的情况下，我只能认为这是为剧情所做的妥协
在故事所想表达的方面，我感觉制作组想触碰的问题太多，太深，以至于短短的13集根本表达不清，结果是草草收尾，实在可惜。",7,推荐,2026-3-21 00:23,平泽祈,431767,girls band cry,"3dlive
2d3d2d

13",3dlive 2d3d2d 13
收尾方式可以说草率到比mujica还恶劣，完全无法接受。音乐节后剧情的内容跟节奏跟前几集完全脱节。而在文无第一，并且没有给出一个让人信服的标准的情况下评判音乐高低，本身就是一件很难绷的事情。,6,还行,2026-3-20 01:08,Orange_JAMGO,431767,girls band cry,mujica,mujica
这期神了，前面还有一点文戏讲一讲这个现实逻辑，讲一讲这个过往什么的2，后面逐渐猎奇向脱离实际，而且很明显的为了爆而爆全是女女关系性全是爆，开始小头控制大头开始瞎几把写圆不回来了，让后==然后依旧经典公式化打法开个live屁事没发生，花田你真他吗傻逼啊又搞伏笔又不出2。不过很有青春感是真的，中专能没青春感不。,7,推荐,2026-3-16 15:09,穗娜,431767,girls band cry,2live2,2live2
剧情老套，给我看睡着了，奇怪的氛围特效比较出戏，明明5个人的乐队，却基本只围绕着nina和mmk与隔壁钻石星尘的爱恨情仇写，486就负责给她俩不分场合不看氛围地爆来爆去打圆场，剩下俩纯工具人。live片段太少，镜头晃得我难受，很多细节逻辑上也很奇怪，结尾非常仓促。看下来唯一的记忆点是写亲情那一集，以及nina的cv表现不错,3,差,2026-3-15 20:16,洛汀,431767,girls band cry,5ninammk486liveninacv,5ninammk486liveninacv
3D质量非常好，东映做的还算不错。剧情还算可以，青春感太强烈了，大家性格都好扭曲。音乐质量也都不错，但是每次的live都看不过瘾就没了，音监在干嘛呢。结局感觉好草率，完全没意识到是最后一集，纯纯过渡回的感觉，然后就结束了，看着好不爽。看在原创份上，也还算可以了。,7,推荐,2026-3-15 00:13,白水可可,431767,girls band cry,3Dlive,3Dlive
情绪旋风，席卷四月。当隔壁夜晚水母不会游泳中道崩殂之后，GBC扛起了原创动画的大旗，基本圆满地延续到了最后。 监督酒井和男与脚本花田十辉的表现亮眼，在美少女X乐队的框架内，加入了一点点摇滚的香辛料，以及各个成员之间那股执拗的青春感，虽有些地方用力过猛，但作为一出故事而言恰到好处。虽第一季故事显然没讲完，但总体没太大问题。 以及最后，技术在强到某种程度的时候，则足以成为内容，同时又反哺于内容，本作的超精良3D就隶属此类。东映再一次向业界展示了哪怕是TV，3D都可以做到如此恐怖的水平，制作单独再加一分 [24.6.30; 25.1.2 二周目; 26.3.12 三周目],8,力荐,2026-3-12 01:08,Rika,431767,girls band cry,GBC X 3DTV3D 24630 2512  26312,GBC X 3DTV3D 24630 2512 26312
mmk daisuki❤️,8,力荐,2026-3-10 23:57,自行八卦炮,431767,girls band cry,mmk daisuki,mmk daisuki
讨厌ep10，13,5,不过不失,2026-3-10 01:24,绳梦,431767,girls band cry,ep1013,ep1013
最后live不放完你是人吗？还有你们五个人还能线下开live不？（另外三人还能复活吗？2026.3.9）,7,推荐,2026-3-9 22:09,花川芽衣子,431767,girls band cry,livelive202639,livelive202639
7.2 原来东映也要吃大少女乐队时代的宏利吗，我说年轻人看的第一部东映动画（。确实是有点为了摇滚而摇滚了，本质少女偶像乐队。不过歌好听。东映的3d确实有点烧钱了。,7,推荐,2026-3-8 06:53,gachi,431767,girls band cry,72 3d,72 3d
刚开始听说是3d本来没想看的，结果质量高到这种程度么，qwq,9,神作,2026-3-6 12:03,狼鸟,431767,girls band cry,3dqwq,3dqwq
"7.5/10 
几部热门少女乐队番里，GBC那后硬核、EMO曲风是我偏爱的，写得也确实好；可令我惋惜的是，GBC剧作完成度偏弱。
开篇把舞台放到了更广阔的世界，承载更多话题：独居、生存与梦想、独立与主流对抗、对风格的坚持或妥协…无不带有现实色彩、可展现角色做选择的能动性。可惜剧作似乎害怕把冲突写得出格，始终束手束脚，后五集尤其最后两集非常乏力，乐队事业、人际矛盾和解都进程仓促。仁菜出走后家人妥协、乐队演出反响好而新歌数据惨淡、反目的旧友想帮自己…这些困难像障碍赛关卡，给角色提供奋进、努力的理由，却未曾真正让角色陷入危机。而冲突的解决，经常是仁菜爆发宣泄，哪怕这番标题有“呐喊”，这喊口号的作用也太强了…Hina角色线失败，本应与仁菜相对照，但其描写缺失，沦为行为突兀的工具人。
不过因为对仁菜某些经历有共鸣，再加上视听体验好，追番过程还算享受。",7,推荐,2026-3-5 20:29,雪岭Snowii1999,431767,girls band cry,"7510 
GBCEMOGBC
“”Hina",7510 GBCEMOGBC “ ” Hina
ep10神回，单集可以给满分，算上之前的综合9分，可惜最后一集拉了，小孩姐性格还是有点欣赏不来，单论对于该不该帮被霸凌的那件事我还是站Hina那边，小孩姐这不纯引火上身了，看的头疼，但是动画制作确实精良，最终在7分和8分中选了8分，感觉给7太低了，8分偏高但是四舍五入可以给到8，至少比隔壁卖狗和母鸡卡那帮老娘们逼逼赖赖你推我搡强太多了,8,力荐,2026-3-1 01:24,日傘星雨,431767,girls band cry,ep109Hina788788,ep109Hina788788
（补档2024.12）作为一部日式少女乐队番，歌很好听，live的3d也很灵动，但是对于后来的两人组的安排不太友好，一直在解决的“做自己喜欢的音乐”其实并没有完全实现，回到了一开始的窘迫境地，希望有剧场版能够给出答复,7,推荐,2026-2-28 16:17,ANR,431767,girls band cry,202412live3d“”,202412live3d “ ”
GBC在画面表现这一块确实没的说，但剧情上的缺点也无法避之不谈，叙事的编排不太合理和13集TV动画的剧情容量导致结尾有些匆忙，甚至可以说是比较烂 然后是hina的人设从最后一话才开始立，明明是贯穿小孩姐一整个心理活动的重要人物，结果看下来似乎有没有都一样,6,还行,2026-2-28 13:11,🐷🦌🦊🦈🥥,431767,girls band cry,GBC13TV hina,GBC13TV hina
第一集观感很差，主观评分5分。宣传插画有多好看就衬得3D正片有多寒碜。从第一支单曲发布开始关注，到正片开播感到很失望，正片质量不如单曲PV，模型动作粗糙，表情总是过于夸张不够细腻，剧情发展生硬，讨论度全靠刻意meme化的镜头带起来，令人反感。希望后期角色全部正式出场开始铺陈之后能补足吧。第二集观感比第一集好很多。,6,还行,2026-2-28 04:54,ココアちゃん,431767,girls band cry,53DPVmeme,53DPVmeme
空の箱还得是mmk来唱，充满经历的大姐姐声音，温柔中有着一丝疲惫但又坚强的感觉。3d演出效果也特别好，就是帕鲁都累死了。,9,神作,2026-2-27 19:48,超级仓鼠王,431767,girls band cry,mmk3d,mmk3d
仁菜这个角色塑造得非常成功，小孩和大人的吵架写得也十分工整，整部作品却没有一个足够rock的结尾来应承前面的精彩，还是蛮可惜的。//我…我…我想起来了！?☝我才不是什么买够母鸡卡、什么纽带乐队、什么滑滑蛋、什么JELEE、什么芙兰秀秀的粉丝，我是有刺无刺的粉丝！（竖小拇指）,6,还行,2026-2-27 14:24,Melody,431767,girls band cry,rockJELEE,rockJELEE
"制作无可挑剔，精致的3D给观众带来了视觉盛宴，唯一不好受的可能是3D动画师们吧
不过整体来看并非十全十美，每一集都靠“爆”来解决问题，使动画变成了情绪主导而非剧情主导，完结之际再来细想剧情，其实就是4位低学历女士被1位大姐大带着不计后果的玩独立乐队，客观的讲，若这样的事情不是发生在动画中而是三次元中，或许我们也会嘲笑他们吧",7,推荐,2026-2-25 23:56,Aronnax,431767,girls band cry,"3D3D
“”41",3D3D “ ” 41
动画7分，优秀3d+2分，gbc的3d太好看了,9,神作,2026-2-25 17:30,Miku,431767,girls band cry,73d2gbc3d,73d2gbc3d
"这或许会成为我接受3d动画的转机/
/这动画做到这份上我觉得确实是相当牛逼了，很难想象花田同期还有个京吹，两边都不让主人公好过是吧？能不能让那所谓的抱憾美学一边凉快去？话是这么说，gbc的剧本我看着还是比较满意的，毕竟有刺无刺结束时是真的才刚刚开始，她们最后要真赢了钻团我才会觉得逻辑上有点说不过去（虽然会很爽）。最后感慨一下，小孩姐是真小孩，mmk也是真扭曲，两个傲娇凑一块，乐子遍地开。然后，rupa，tomo，486真可爱。歌也很好听，某些单集有花田魔法。",8,力荐,2026-2-24 23:43,guliwy111,431767,girls band cry,"3d
gbcmmkrupatomo486",3d gbcmmkrupatomo486
3d十分灵动，音乐夯（有冰），情感在ep8达到巅峰。后期给剧情减速（备战第二季？），结尾略微有些刻意，但整体完全对得起三个月的追番体验,8,力荐,2026-2-20 23:40,蜡屐丶,431767,girls band cry,3dep8,3dep8
"夯爆了！顶级MV！每一集都可以是神回，故事越看到后面越令人感动、泪目。
nina，因帮助被霸凌同学导致自己被霸凌至退学，她的成长与任性，正论怪就是这个年纪该有的年轻气盛的样子，虽然经常吵架，但正是她坚持没有错这一点才吸引到了更多人。
昴，队伍中的调和剂，高中生人设，不想和奶奶一样当演员，想组乐队，在音乐中宣泄。
桃香因为坚持自己的风格退出乐队，现在重组乐队遇到了一群同样目标的队友，在nina身上看到了曾经的自己。
小智也是辍学组乐队，但因为太坚持自己的想法，表达直白导致解散。现在的她和rupa一起遇到了能接受自己想法的人。
rupa，最知心最年长的大姐姐，经历了家人离世，陪伴小智度过了最艰难的时刻。
正是这样的五个人组成的乐队，才有着没有退路，不得不走下去信念。
太喜欢这样的歌词了，这些词发出的摇滚宣泄，就像刺一样击中人心。",8,力荐,2026-2-20 21:50,思详者,431767,girls band cry,"MV
nina

nina
rupa
rupa",MV nina nina rupa rupa
音乐和LIVE做得很出色，制作也太顶了，如果在11集结束这一季的话真的是很不错的一部作品；结果最后两集智能让我想起Princess Principal：主打一个跳跃和唐突，剧情快如火箭，人物的不少行为逻辑根本根本说服不了观众。以及DD的蓝毛和黑毛真可爱啊……,7,推荐,2026-2-19 20:57,Rye,431767,girls band cry,LIVE11Princess PrincipalDD,LIVE11Princess PrincipalDD
除了最后的播放量这种机械降鬼之外，只能说，神作！反正它是很深的触动到我了。立体的人物形象，不屈且反抗的内核，再佐以超强的演出，woc，最爱动画之一了好吧b（￣▽￣）d,10,超神作,2026-2-15 23:51,阴凉之地,431767,girls band cry,wocbd,wocbd
9-。文戏优秀。仁菜性格独特但又不招致观众反感，在剧情中还有成长弧光。Live的演出特效很有趣。昴奶奶没有被塑造成单纯的执拗家长好评。| ep.8 神回无须多言。| ep.9 仁奈的成长很棒，矛盾解决的过程很棒，但tomo的话与其说是建议不如说只是单纯的人身攻击吧.. | ep.10 又一个神回，不太感冒家庭戏但还是被感动到了 | ep.11 live太好看了 | 结尾真就是高高举起轻轻放下，live也只有半首歌，没有情绪爆点。,9,神作,2026-2-15 19:05,koala,431767,girls band cry,9Live ep8  ep9 tomo  ep10   ep11 live  live,9Live ep8 ep9 tomo ep10 ep11 live live
"三渲二做的很好，剧情过度也不错，就算是只听一听歌也是不错的
PS：我喜欢486和RUPA",10,超神作,2026-2-15 10:04,棠の祈,431767,girls band cry,PS486RUPA,PS486RUPA
【6.5+/10】仁菜那股子冲动鲁莽却又激情万丈的精神成为了全篇的最大内核，能否认同并欣赏仁菜对各种现实问题与矫揉造作进行横冲直闯是观看这部作品的一个门槛，从这点上看本作偏向理想与浪漫主义，如果对现实过分在意就会陷入无法进入心流的状态，我初看是也是如此，但在二刷后我坦然地进入了仁菜的节奏，跟着她一起闷头向前，此时的观看体验非常出彩，不仅仅是耗费心血的3d制作在视觉上与演出一同呈现了视觉盛宴，live歌曲更是在悦耳的基础上充分调动起了我渴望观看下去的欲望，但我实在是没想到这个结尾竟然如此糟糕以至于毁了我前面的所累积下来的激情，一方面是这个结局过分潦草轻率，粗暴把坑全填了之后留下第二季的预告这是很搞人心态的，而这结局的内核一反浪漫主义的美好，用现实迎头重击了主角团，后续的回旋让我看到精神全无，说到底gbc也算不上纯正的摇滚动画，但摇滚味被这结局一扫而空了,6,还行,2026-2-14 19:05,岚瑟,431767,girls band cry,65103dlivegbc,65103dlivegbc
笑麻了，有种当年追mygo的感觉总之非常爽。集集都有文戏+live演出/大小唱，配乐在渲染情感上做的很到位，节奏缜密观感十分舒适。3d模型的面部微表情处理也很出色（2d作画倒是很廉价），可惜结尾太仓促不是很满意，期待续篇,8,力荐,2026-2-12 13:17,ifo,431767,girls band cry,mygolive3d2d,mygolive3d2d
3d制作很惊艳 对live的表现力提升很大 矛盾的塑造确实摇滚 最后的结尾也确实虎头蛇尾 期待后续,8,力荐,2026-2-8 11:36,AY,431767,girls band cry,3d live,3d live
你的3D制作很丝滑，你的粒子特效很神秘。前十一集的剧情中规中矩，稳中带点创新，后两集则不尽人意。同样是近几年有热度的少女乐队动画，演出比mygo强，人物塑造与关系处理不如mygo，真希望这俩的优势能够结合。几首live写的还不错。而且我发现似乎这类番的故事推进只能靠冲突和爆点了，孤独摇滚的那种完全依托于人物欲望的动机线推进几乎很难再见到。,6,还行,2026-2-7 10:59,平丘寻冬,431767,girls band cry,3Dmygomygolive,3Dmygomygolive
3D技术做的太丝滑了，不过感觉rupa和tomo的塑造感觉有点少了，蹲第二季,8,力荐,2026-2-2 14:31,MLPK,431767,girls band cry,3Drupatomo,3Drupatomo
"这结尾太难受了吧，不知道何日能等到第二季。除了27和mmk其他队友塑造不算多，比较可惜。
我还是挺吃花田这一套的，情感上到位了。虽然有些情节确实不能细想（）
这种3d做的好可爱。
音乐意外的没怎么对上电波，再听一会。",7,推荐,2026-2-2 09:39,Wikn,431767,girls band cry,"27mmk

3d",27mmk 3d
"2024新作 我心中的top1
结尾的处理有点拉了，这个8分给得很别扭，心中7.7-7.8分左右的作品",8,力荐,2026-1-31 12:29,61117_s-s,431767,girls band cry,"2024 top1
87778",2024 top1 87778
"本身不是很喜欢这种题材，但是看完感觉很好，插曲很好听，特别的作画也使角色非常可爱
momoka这个角色给我的感觉很奇怪，故事里拉着高中同学破釜沉舟搞乐队，最后不乐意直接跳车了，还好动画里过的比较惨要不然她的观感真的会差很多，就这样还被主角硬推着跟老队友对决，这样想想主角其实是不讨喜的，把自己的意愿强加在其他人身上，作者为什么要为读者负责，你听了她的歌被解救了，也许只是别人的随手一曲，一千个观众有一千个哈姆雷特，拜托你不要擅自期待、擅自破防啊，hhh
13集想讲好一个贴近现实的成长故事太仓促了，还是比较可惜的",8,力荐,2026-1-31 01:31,Hikaren,431767,girls band cry,"momokahhh
13",momokahhh 13
本来觉得3D挺看不进去的  啊啊啊486可爱腻  mmk这个美啊 一开始觉得nina这个b性格挺烦的 但是他就是那种不服输的性格啊   老子就是喜欢这种直击心灵的番 终于可以看到不同风格的乐队番了 不再是人物类似 也不是剧情类似 nina篇还是挺感动挺戳我的  第十集真夯爆了 成长与青春共鸣 冰！！！！！！！,8,力荐,2026-1-30 22:25,喜之郎,431767,girls band cry,3D  486  mmk ninab        nina,3D 486 mmk ninab nina
"小孩姐我还挺喜欢的，其中印象深刻的与父亲和解、很多女女关系的吵架和解都很不错。
但是故事完整性欠缺，同时人物塑造没有mygo的出色，gbc当中后期加入的两个角色在前期的画面太少，以至于到后期这俩角色与整个团体的互动性，给我观感一般。
最严重的问题是，我怎么总感觉这故事都不是马上下个阶段了，是在进入第一个阶段结尾的时候把结尾砍掉了，这给我极大的割裂感7.5-8分左右，没有mygo那么优秀，但也算值得一看的少女乐队题材作品，小孩姐刻画极其优秀。
不赞同小孩姐的价值观，但是欣赏她这种精神，可能也随之年龄越来越大，不再是希望成为而变成单纯的欣赏这类人了，我对小智的观感很一般，远没有在看mygo与母鸡卡对祥子的喜爱和乐趣，整个剧情当中桃香的之前的钻石星辰基本上就是纯背景板，她的那仨队友跟路人没啥区别，对粉毛刻画态度好，最后一集草草结束，有感动也有乐趣，但",7,推荐,2026-1-30 16:31,码头上没薯条,431767,girls band cry,"mygogbc
758mygo
mygo",mygogbc 758mygo mygo
