content,time,mode,color,send_time,cid,episode,episode_title,anime_title,aid
手语:蝉蜕皮之前，一面撒上胡椒一面撒上盐，火上烤熟很好吃？？,801.036,5,16776960,2023-06-09 11:05:30,1157052422,9,米兰乔与魔神 | 王子与宝物,国王排名 勇气的宝箱,912043309
送出的共同美好的记忆阿，这不就是人生,903.235,1,16777215,2023-06-09 05:04:40,1157052422,9,米兰乔与魔神 | 王子与宝物,国王排名 勇气的宝箱,912043309
这对的感情发展就和米兰乔和乔治的感情一样令人震撼,876.692,1,16777215,2023-06-09 16:47:43,1157052422,9,米兰乔与魔神 | 王子与宝物,国王排名 勇气的宝箱,912043309
还好我闪避点满了 不然你这个老6就打到我了,651.859,5,16777215,2023-06-09 12:37:02,1157052422,9,米兰乔与魔神 | 王子与宝物,国王排名 勇气的宝箱,912043309
我真的哭死 熟悉的BGM,1136.231,5,16777215,2023-06-09 10:49:13,1157052422,9,米兰乔与魔神 | 王子与宝物,国王排名 勇气的宝箱,912043309
跑这么远一不小心把卡克找到怎么办,994.468,5,16777215,2023-06-13 16:47:13,1157052422,9,米兰乔与魔神 | 王子与宝物,国王排名 勇气的宝箱,912043309
一个送出珍视之物，一个以珍视之心对待所送的物品,927.676,1,16777215,2023-06-09 20:19:08,1157052422,9,米兰乔与魔神 | 王子与宝物,国王排名 勇气的宝箱,912043309
所以真的刚出门就找到了卡克,1177.019,5,16777215,2023-06-09 12:06:30,1157052422,9,米兰乔与魔神 | 王子与宝物,国王排名 勇气的宝箱,912043309
好了，现在想知道的话有2句了。淦,1094.438,1,16777215,2023-06-09 12:26:01,1157052422,9,米兰乔与魔神 | 王子与宝物,国王排名 勇气的宝箱,912043309
他还是那么爱哭,1112.881,5,16777215,2023-06-09 19:53:43,1157052422,9,米兰乔与魔神 | 王子与宝物,国王排名 勇气的宝箱,912043309
啊不是 你想说啥说啊 我也想听（急,955.41,1,16777215,2023-06-09 13:27:40,1157052422,9,米兰乔与魔神 | 王子与宝物,国王排名 勇气的宝箱,912043309
无情铁头,743.036,5,16707842,2023-06-09 01:46:37,1157052422,9,米兰乔与魔神 | 王子与宝物,国王排名 勇气的宝箱,912043309
万一出城门左转就找到库克怎么办？,936.3,5,16777215,2023-06-09 09:07:03,1157052422,9,米兰乔与魔神 | 王子与宝物,国王排名 勇气的宝箱,912043309
