content,rate,rate_label,time,user_name,subject_id,anime_title,anime_rank,anime_score
不行，还不能笑，在等40秒吧,8,力荐,59m ago,nagisa,1773,死亡笔记,65,8.4
还是L在的时候好，月也智商在线?,6,还行,3h 48m  ago,LG_,1773,死亡笔记,65,8.4
晚年拉了,10,超神作,5h 36m  ago,SQ,1773,死亡笔记,65,8.4
死亡笔记不用多说，漫画，电视剧结局都不一样，目前我只看了动漫,10,超神作,9h  ago,dailiwen,1773,死亡笔记,65,8.4
卡密还是太细了。,8,力荐,21h 48m  ago,叶子,1773,死亡笔记,65,8.4
没看完,6,还行,23h 23m  ago,夏凪,1773,死亡笔记,65,8.4
其实主要就是看张力，你非要说智斗，我其实觉得没多少，好的地方逻辑都对不上，L死了之后更是一点都没有了，智斗方面比这个优秀的很多，偏偏一群脑残魔怔逼天天吹,6,还行,1d 4h ago,蚯蚓,1773,死亡笔记,65,8.4
还真是智斗天花板，虽然后面有点刹不住车了，但这前半段是真顶级,8,力荐,1d 5h ago,zkh,1773,死亡笔记,65,8.4
直接空降M和N有点突兀，如果前面稍微露个脸观感应该好不少。L也死的有点草率。,8,力荐,1d 18h ago,子非鱼,1773,死亡笔记,65,8.4
观后感：恋爱脑好恐怖呃啊啊啊啊啊（尖叫逃开,9,神作,2d 22h ago,Hanabi,1773,死亡笔记,65,8.4
好看。,8,力荐,2026-4-10 02:07,09092,1773,死亡笔记,65,8.4
夜神月和 L 的头脑思维太厉害了,7,推荐,2026-4-9 23:06,OwoOow,1773,死亡笔记,65,8.4
8.4分我觉得太高了，个人认为7.5-8分之间，算是优秀的悬疑动画,7,推荐,2026-4-9 16:41,雨重明,1773,死亡笔记,65,8.4
后半段的推理太强行了，观感确实有点下降，总体来看还是挺精彩的,9,神作,2026-4-9 16:14,Qiushui23,1773,死亡笔记,65,8.4
瑕不掩瑜，一集接一集停不下来,10,超神作,2026-4-9 15:03,霜落冰海,1773,死亡笔记,65,8.4
我是le,10,超神作,2026-4-9 13:25,陈蔚蓝cwleste,1773,死亡笔记,65,8.4
L死之前9分，死后5分，临终演讲9分。,8,力荐,2026-4-9 02:49,オクトパス,1773,死亡笔记,65,8.4
