content,time,mode,color,send_time,cid,episode,episode_title,anime_title,aid,clean_content,segmented
这个人随便搞个cos装扮都能做替身了这个颜值绝了,279.377,1,16777215,2026-03-12 20:24:18,456481197,7,有六个人！,JOJO的奇妙冒险 石之海,379582468,cos,cos
CD不是替身的产物吗，普通人也能看见？,537.406,1,16777215,2026-01-26 22:27:29,456481197,7,有六个人！,JOJO的奇妙冒险 石之海,379582468,CD,CD
欧i0000222,1321.784,1,16777215,2026-01-25 15:29:09,456481197,7,有六个人！,JOJO的奇妙冒险 石之海,379582468,i0000222,i0000222
bgh,250.903,1,16777215,2026-01-25 15:20:05,456481197,7,有六个人！,JOJO的奇妙冒险 石之海,379582468,bgh,bgh
我猜这里的画面后面会出现大boss,232.402,1,16777215,2025-12-13 00:27:34,456481197,7,有六个人！,JOJO的奇妙冒险 石之海,379582468,boss,boss
Kiss!,1107.242,5,16777215,2025-12-02 19:39:14,456481197,7,有六个人！,JOJO的奇妙冒险 石之海,379582468,Kiss,Kiss
Let it go,1145.901,1,16777215,2025-11-06 18:28:34,456481197,7,有六个人！,JOJO的奇妙冒险 石之海,379582468,Let it go,Let it go
对呀，3A弱女子,756.444,5,41194,2025-11-01 21:53:57,456481197,7,有六个人！,JOJO的奇妙冒险 石之海,379582468,3A,3A
2V1，蒜鸟蒜鸟，当团战看吧,1267.797,1,16777215,2025-10-27 11:07:43,456481197,7,有六个人！,JOJO的奇妙冒险 石之海,379582468,2V1,2V1
boke,953.747,1,16777215,2025-10-11 21:41:01,456481197,7,有六个人！,JOJO的奇妙冒险 石之海,379582468,boke,boke
长得像性感手枪no4,309.267,1,16777215,2025-09-24 20:14:22,456481197,7,有六个人！,JOJO的奇妙冒险 石之海,379582468,no4,no4
在水里ff也是力a,1170.157,1,16777215,2025-09-23 20:58:01,456481197,7,有六个人！,JOJO的奇妙冒险 石之海,379582468,ffa,ffa
体测be like,426.92,1,16777215,2025-09-23 16:50:16,456481197,7,有六个人！,JOJO的奇妙冒险 石之海,379582468,be like,be like
呀嘞呀嘞，果然是nv er女儿,1182.911,1,16777215,2025-09-17 23:47:36,456481197,7,有六个人！,JOJO的奇妙冒险 石之海,379582468,nv er,nv er
Gucci ,376.675,1,16777215,2025-09-17 18:29:52,456481197,7,有六个人！,JOJO的奇妙冒险 石之海,379582468,Gucci,Gucci
FFA很可爱的,491.376,1,16777215,2025-09-17 14:12:57,456481197,7,有六个人！,JOJO的奇妙冒险 石之海,379582468,FFA,FFA
这俩又在摆poss,584.176,1,16777215,2025-08-29 17:42:40,456481197,7,有六个人！,JOJO的奇妙冒险 石之海,379582468,poss,poss
JING  YE,483.016,5,16777215,2025-08-23 17:53:12,456481197,7,有六个人！,JOJO的奇妙冒险 石之海,379582468,JING  YE,JING YE
piqiuba,840.201,1,16777215,2025-08-22 22:45:53,456481197,7,有六个人！,JOJO的奇妙冒险 石之海,379582468,piqiuba,piqiuba
我是鹿头人型替身，stand名字就叫拼命的鹿,22.891,1,16777215,2025-08-22 20:34:03,456481197,7,有六个人！,JOJO的奇妙冒险 石之海,379582468,stand,stand
go,413.987,1,16777215,2025-08-21 13:34:32,456481197,7,有六个人！,JOJO的奇妙冒险 石之海,379582468,go,go
666F壳,870.718,1,16777215,2025-08-17 15:47:57,456481197,7,有六个人！,JOJO的奇妙冒险 石之海,379582468,666F,666F
替身取材自吉米·亨德里克斯的同名歌曲《Stone Free》,756.121,5,16777215,2025-08-17 12:13:34,456481197,7,有六个人！,JOJO的奇妙冒险 石之海,379582468,Stone Free,Stone Free
nv,561.897,1,16777215,2025-08-08 10:26:18,456481197,7,有六个人！,JOJO的奇妙冒险 石之海,379582468,nv,nv
3a面板啊。还有一个成长性a,756.741,1,16777215,2025-08-07 17:54:19,456481197,7,有六个人！,JOJO的奇妙冒险 石之海,379582468,3aa,3aa
