content,time,mode,color,send_time,cid,episode,episode_title,anime_title,aid,clean_content,segmented
AH,449.065,1,16777215,2026-03-28 21:46:24,1154635809,1上,某人的梦（上）,鬼灭之刃 刀匠村篇,656835181,AH,AH
ber...,288.478,1,16777215,2026-03-28 12:42:28,1154635809,1上,某人的梦（上）,鬼灭之刃 刀匠村篇,656835181,ber,ber
OverDrive!!,87.302,1,16777215,2026-03-26 22:19:12,1154635809,1上,某人的梦（上）,鬼灭之刃 刀匠村篇,656835181,OverDrive,OverDrive
hi？,882.852,1,16777215,2026-03-24 19:19:40,1154635809,1上,某人的梦（上）,鬼灭之刃 刀匠村篇,656835181,hi,hi
sisjzkzk,55.625,1,16777215,2026-03-22 19:13:50,1154635809,1上,某人的梦（上）,鬼灭之刃 刀匠村篇,656835181,sisjzkzk,sisjzkzk
是yakaza,152.364,1,16777215,2026-03-21 15:42:25,1154635809,1上,某人的梦（上）,鬼灭之刃 刀匠村篇,656835181,yakaza,yakaza
Duang～～～,263.761,1,16777215,2026-03-21 09:50:04,1154635809,1上,某人的梦（上）,鬼灭之刃 刀匠村篇,656835181,Duang,Duang
华丽丽www,29.368,5,16777215,2026-03-19 13:57:19,1154635809,1上,某人的梦（上）,鬼灭之刃 刀匠村篇,656835181,www,www
so?前面的，炭治郎是炭吉的后代啊,1119.134,1,16777215,2026-03-19 13:15:23,1154635809,1上,某人的梦（上）,鬼灭之刃 刀匠村篇,656835181,so,so
666M属性发力了,731.74,1,16777215,2026-03-17 19:46:54,1154635809,1上,某人的梦（上）,鬼灭之刃 刀匠村篇,656835181,666M,666M
what？,24.84,1,16777215,2026-03-17 19:15:28,1154635809,1上,某人的梦（上）,鬼灭之刃 刀匠村篇,656835181,what,what
SANGE,180.808,1,16777215,2026-03-17 12:01:43,1154635809,1上,某人的梦（上）,鬼灭之刃 刀匠村篇,656835181,SANGE,SANGE
o0o,1217.708,1,16777215,2026-03-15 19:50:16,1154635809,1上,某人的梦（上）,鬼灭之刃 刀匠村篇,656835181,o0o,o0o
这马尾真好看，非常的 good,1178.432,1,16777215,2026-03-14 21:22:58,1154635809,1上,某人的梦（上）,鬼灭之刃 刀匠村篇,656835181,good,good
（文野的求求不要ky了…我也是文野粉，不要给自家抹黑…（我怕被打）,417.416,1,16777215,2026-03-14 18:35:08,1154635809,1上,某人的梦（上）,鬼灭之刃 刀匠村篇,656835181,ky,ky
t tt,254.632,1,16777215,2026-03-14 12:32:34,1154635809,1上,某人的梦（上）,鬼灭之刃 刀匠村篇,656835181,t tt,t tt
en,1119.38,1,16777215,2026-03-13 18:41:28,1154635809,1上,某人的梦（上）,鬼灭之刃 刀匠村篇,656835181,en,en
m n，，，,358.914,1,16777215,2026-03-12 22:35:00,1154635809,1上,某人的梦（上）,鬼灭之刃 刀匠村篇,656835181,m n,m n
教主nd666,373.266,1,16777215,2026-03-12 19:46:29,1154635809,1上,某人的梦（上）,鬼灭之刃 刀匠村篇,656835181,nd666,nd666
df,248.547,1,16777215,2026-03-11 21:18:28,1154635809,1上,某人的梦（上）,鬼灭之刃 刀匠村篇,656835181,df,df
鸣女的 cv是麻团诶，就是阿尔敏的cv,361.174,1,16707842,2026-03-11 14:44:56,1154635809,1上,某人的梦（上）,鬼灭之刃 刀匠村篇,656835181,cvcv,cvcv
好喜欢这段bgm,192.642,1,16777215,2026-03-09 18:44:47,1154635809,1上,某人的梦（上）,鬼灭之刃 刀匠村篇,656835181,bgm,bgm
wok这个剑士是炭治郎的祖宗,975.52,1,16777215,2026-03-09 09:33:51,1154635809,1上,某人的梦（上）,鬼灭之刃 刀匠村篇,656835181,wok,wok
4K启动！,236.618,1,16777215,2026-03-08 21:45:45,1154635809,1上,某人的梦（上）,鬼灭之刃 刀匠村篇,656835181,4K,4K
我求你了T^T,695.841,1,16777215,2026-03-08 12:12:31,1154635809,1上,某人的梦（上）,鬼灭之刃 刀匠村篇,656835181,TT,TT
beng一下笑了,259.656,1,16777215,2026-03-07 13:54:04,1154635809,1上,某人的梦（上）,鬼灭之刃 刀匠村篇,656835181,beng,beng
344、、、、图55】】y6][][】‘’】天天,519.123,1,16777215,2026-03-07 12:14:49,1154635809,1上,某人的梦（上）,鬼灭之刃 刀匠村篇,656835181,34455y6‘’,34455y6 ‘ ’
我一个玩手机的都感觉有3d的感觉,136.795,1,16777215,2026-03-07 00:29:15,1154635809,1上,某人的梦（上）,鬼灭之刃 刀匠村篇,656835181,3d,3d
