content,time,mode,color,send_time,cid,episode,episode_title,anime_title,aid,clean_content,segmented
我真的哭死 熟悉的BGM,1136.231,5,16777215,2023-06-09 10:49:13,1157052422,9,米兰乔与魔神 | 王子与宝物,国王排名 勇气的宝箱,912043309,BGM,BGM
前半季伊始的OP！,1146.32,5,16777215,2023-07-13 17:25:57,1157052422,9,米兰乔与魔神 | 王子与宝物,国王排名 勇气的宝箱,912043309,OP,OP
ADHD是吧,200.907,5,16777215,2025-03-28 02:12:07,1157052422,9,米兰乔与魔神 | 王子与宝物,国王排名 勇气的宝箱,912043309,ADHD,ADHD
hello？,1098.364,1,16777215,2024-08-29 07:33:27,1157052422,9,米兰乔与魔神 | 王子与宝物,国王排名 勇气的宝箱,912043309,hello,hello
O v O,1135.463,1,15138834,2024-08-08 21:16:35,1157052422,9,米兰乔与魔神 | 王子与宝物,国王排名 勇气的宝箱,912043309,O v O,O v O
OvO,558.779,1,15138834,2024-08-08 21:06:34,1157052422,9,米兰乔与魔神 | 王子与宝物,国王排名 勇气的宝箱,912043309,OvO,OvO
熟悉的bgm,1142.726,5,15138834,2024-03-29 22:32:35,1157052422,9,米兰乔与魔神 | 王子与宝物,国王排名 勇气的宝箱,912043309,bgm,bgm
oi！,1063.205,1,16777215,2023-11-15 15:31:39,1157052422,9,米兰乔与魔神 | 王子与宝物,国王排名 勇气的宝箱,912043309,oi,oi
牵左手更dei劲儿吧,424.72,1,16777215,2023-10-01 16:21:38,1157052422,9,米兰乔与魔神 | 王子与宝物,国王排名 勇气的宝箱,912043309,dei,dei
你两cp感比戴达强哈哈哈,454.258,1,16777215,2023-09-13 01:20:52,1157052422,9,米兰乔与魔神 | 王子与宝物,国王排名 勇气的宝箱,912043309,cp,cp
amier,1337.944,1,16777215,2023-09-02 22:58:44,1157052422,9,米兰乔与魔神 | 王子与宝物,国王排名 勇气的宝箱,912043309,amier,amier
aimer,1339.0,1,16777215,2023-08-31 20:10:43,1157052422,9,米兰乔与魔神 | 王子与宝物,国王排名 勇气的宝箱,912043309,aimer,aimer
o.0,1268.266,1,16777215,2023-08-01 19:10:52,1157052422,9,米兰乔与魔神 | 王子与宝物,国王排名 勇气的宝箱,912043309,o0,o0
