content,time,mode,color,send_time,cid,episode,episode_title,anime_title,aid,clean_content,segmented
p“oliu‘、/;lkj;',1183.911,1,16777215,2025-05-26 11:35:18,2554067,4,战意之所在,Fate/stay night [Unlimited Blade Works] 第一季,1674473,p“oliu‘lkj,p “ oliu ‘ lkj
底牌也是fake的fake人，红a没错就是你,1267.699,1,16777215,2025-05-13 22:04:17,2554067,4,战意之所在,Fate/stay night [Unlimited Blade Works] 第一季,1674473,fakefakea,fakefakea
wow,284.673,1,16777215,2025-05-11 17:03:40,2554067,4,战意之所在,Fate/stay night [Unlimited Blade Works] 第一季,1674473,wow,wow
coser：伊莉雅,440.734,1,16777215,2025-05-10 20:50:52,2554067,4,战意之所在,Fate/stay night [Unlimited Blade Works] 第一季,1674473,coser,coser
樱这会儿应该看出来是C8吧,690.418,5,15138834,2025-05-06 23:31:20,2554067,4,战意之所在,Fate/stay night [Unlimited Blade Works] 第一季,1674473,C8,C8
rider来咯,872.166,5,16646914,2025-05-05 06:56:38,2554067,4,战意之所在,Fate/stay night [Unlimited Blade Works] 第一季,1674473,rider,rider
这些职阶让咱想起了RO职业,434.356,1,16777215,2025-05-05 04:10:34,2554067,4,战意之所在,Fate/stay night [Unlimited Blade Works] 第一季,1674473,RO,RO
这条线的saber比06线的表情更丰富了,498.642,1,16777215,2025-04-29 20:27:09,2554067,4,战意之所在,Fate/stay night [Unlimited Blade Works] 第一季,1674473,saber06,saber06
roper,454.829,1,16777215,2025-04-26 14:20:10,2554067,4,战意之所在,Fate/stay night [Unlimited Blade Works] 第一季,1674473,roper,roper
还有sleeper,437.721,1,16777215,2025-04-10 19:09:37,2554067,4,战意之所在,Fate/stay night [Unlimited Blade Works] 第一季,1674473,sleeper,sleeper
WAWAWA,29.171,1,16777215,2025-03-31 21:55:43,2554067,4,战意之所在,Fate/stay night [Unlimited Blade Works] 第一季,1674473,WAWAWA,WAWAWA
我出boring(我们可是最强突袭者啊！）,440.188,1,16777215,2025-03-23 20:33:08,2554067,4,战意之所在,Fate/stay night [Unlimited Blade Works] 第一季,1674473,boring,boring
还有金闪闪，不过闪闪是算两个职阶的吧archer 跟caster,433.257,1,16777215,2025-03-21 02:58:06,2554067,4,战意之所在,Fate/stay night [Unlimited Blade Works] 第一季,1674473,archer caster,archer caster
我丢，这不Asuka吗！,1152.276,1,16777215,2025-02-15 21:49:45,2554067,4,战意之所在,Fate/stay night [Unlimited Blade Works] 第一季,1674473,Asuka,Asuka
To郎是没有欲望吗？,1084.297,1,16707842,2025-02-15 14:14:05,2554067,4,战意之所在,Fate/stay night [Unlimited Blade Works] 第一季,1674473,To,To
zhidai,1081.47,1,16777215,2025-01-25 21:06:28,2554067,4,战意之所在,Fate/stay night [Unlimited Blade Works] 第一季,1674473,zhidai,zhidai
06版直接被B叔腰斩了,347.32,1,16777215,2025-01-24 23:13:15,2554067,4,战意之所在,Fate/stay night [Unlimited Blade Works] 第一季,1674473,06B,06B
EA：闪闪不让用啊,41.87,1,16707842,2025-01-24 11:15:17,2554067,4,战意之所在,Fate/stay night [Unlimited Blade Works] 第一季,1674473,EA,EA
