content,time,mode,color,send_time,cid,episode,episode_title,anime_title,aid,clean_content,segmented
无能狂怒ing,672.953,1,16777215,2025-11-22 22:18:10,207381156,5,凶兽咆吼,Fate/Zero 第一季,421843305,ing,ing
ahh,1144.93,1,16777215,2025-11-17 22:22:25,207381156,5,凶兽咆吼,Fate/Zero 第一季,421843305,ahh,ahh
其实大帝才是berserker(doge),989.784,1,16707842,2025-11-16 23:16:11,207381156,5,凶兽咆吼,Fate/Zero 第一季,421843305,berserkerdoge,berserkerdoge
WC，盒！,257.911,5,16777215,2025-11-03 09:53:03,207381156,5,凶兽咆吼,Fate/Zero 第一季,421843305,WC,WC
伊扎克的cv关智一啊,408.699,1,16777215,2025-10-19 21:54:06,207381156,5,凶兽咆吼,Fate/Zero 第一季,421843305,cv,cv
hhhhh底下那俩瞬间统一战线,89.428,1,41194,2025-10-05 13:33:44,207381156,5,凶兽咆吼,Fate/Zero 第一季,421843305,hhhhh,hhhhh
哈哈哈哈金闪闪受不了这种tiao xin挑衅,396.655,1,16777215,2025-10-03 16:57:13,207381156,5,凶兽咆吼,Fate/Zero 第一季,421843305,tiao xin,tiao xin
shshhsh,429.932,1,16777215,2025-10-02 23:58:33,207381156,5,凶兽咆吼,Fate/Zero 第一季,421843305,shshhsh,shshhsh
yhh,1145.67,1,16777215,2025-10-02 10:34:18,207381156,5,凶兽咆吼,Fate/Zero 第一季,421843305,yhh,yhh
认错人了，贞德在fa里,1295.712,1,16777215,2025-10-01 20:00:41,207381156,5,凶兽咆吼,Fate/Zero 第一季,421843305,fa,fa
团战wc,449.794,1,16777215,2025-09-24 01:17:16,207381156,5,凶兽咆吼,Fate/Zero 第一季,421843305,wc,wc
estp,1065.474,1,16777215,2025-09-18 00:21:36,207381156,5,凶兽咆吼,Fate/Zero 第一季,421843305,estp,estp
J        Q        K,382.104,5,16765698,2025-09-09 21:21:48,207381156,5,凶兽咆吼,Fate/Zero 第一季,421843305,J        Q        K,J Q K
Berserker看到saber太激动了呵呵呵,1188.26,1,16777215,2025-08-30 23:09:58,207381156,5,凶兽咆吼,Fate/Zero 第一季,421843305,Berserkersaber,Berserkersaber
gtv                                                    ,304.141,5,15772458,2025-08-30 19:44:18,207381156,5,凶兽咆吼,Fate/Zero 第一季,421843305,gtv,gtv
